# seed=(1, 2) mean=(5, 20) standard_deviation=(1, 15) number_of_processes=500
------------------------------------------------------------
Average waiting time : 1120.696
Average turn around time : 1125.248
------------------------------------------------------------
Process 0 | Waiting Time 0 | Burst Time 5 | Arrival Time 0 | Turn Around Time 5
Process 1 | Waiting Time 5 | Burst Time 4 | Arrival Time 0 | Turn Around Time 9
Process 2 | Waiting Time 9 | Burst Time 7 | Arrival Time 0 | Turn Around Time 16
Process 3 | Waiting Time 16 | Burst Time 4 | Arrival Time 0 | Turn Around Time 20
Process 4 | Waiting Time 20 | Burst Time 4 | Arrival Time 0 | Turn Around Time 24
Process 5 | Waiting Time 24 | Burst Time 5 | Arrival Time 0 | Turn Around Time 29
Process 6 | Waiting Time 29 | Burst Time 6 | Arrival Time 0 | Turn Around Time 35
Process 7 | Waiting Time 35 | Burst Time 6 | Arrival Time 0 | Turn Around Time 41
Process 8 | Waiting Time 40 | Burst Time 4 | Arrival Time 1 | Turn Around Time 44
Process 9 | Waiting Time 44 | Burst Time 4 | Arrival Time 1 | Turn Around Time 48
Process 10 | Waiting Time 48 | Burst Time 6 | Arrival Time 1 | Turn Around Time 54
Process 11 | Waiting Time 54 | Burst Time 4 | Arrival Time 1 | Turn Around Time 58
Process 12 | Waiting Time 58 | Burst Time 4 | Arrival Time 1 | Turn Around Time 62
Process 13 | Waiting Time 62 | Burst Time 4 | Arrival Time 1 | Turn Around Time 66
Process 14 | Waiting Time 66 | Burst Time 5 | Arrival Time 1 | Turn Around Time 71
Process 15 | Waiting Time 71 | Burst Time 5 | Arrival Time 1 | Turn Around Time 76
Process 16 | Waiting Time 76 | Burst Time 4 | Arrival Time 1 | Turn Around Time 80
Process 17 | Waiting Time 80 | Burst Time 4 | Arrival Time 1 | Turn Around Time 84
Process 18 | Waiting Time 84 | Burst Time 5 | Arrival Time 1 | Turn Around Time 89
Process 19 | Waiting Time 89 | Burst Time 5 | Arrival Time 1 | Turn Around Time 94
Process 20 | Waiting Time 94 | Burst Time 3 | Arrival Time 1 | Turn Around Time 97
Process 21 | Waiting Time 96 | Burst Time 4 | Arrival Time 2 | Turn Around Time 100
Process 22 | Waiting Time 100 | Burst Time 5 | Arrival Time 2 | Turn Around Time 105
Process 23 | Waiting Time 105 | Burst Time 5 | Arrival Time 2 | Turn Around Time 110
Process 24 | Waiting Time 110 | Burst Time 6 | Arrival Time 2 | Turn Around Time 116
Process 25 | Waiting Time 116 | Burst Time 4 | Arrival Time 2 | Turn Around Time 120
Process 26 | Waiting Time 120 | Burst Time 4 | Arrival Time 2 | Turn Around Time 124
Process 27 | Waiting Time 124 | Burst Time 3 | Arrival Time 2 | Turn Around Time 127
Process 28 | Waiting Time 127 | Burst Time 5 | Arrival Time 2 | Turn Around Time 132
Process 29 | Waiting Time 132 | Burst Time 5 | Arrival Time 2 | Turn Around Time 137
Process 30 | Waiting Time 137 | Burst Time 4 | Arrival Time 2 | Turn Around Time 141
Process 31 | Waiting Time 141 | Burst Time 4 | Arrival Time 2 | Turn Around Time 145
Process 32 | Waiting Time 145 | Burst Time 5 | Arrival Time 2 | Turn Around Time 150
Process 33 | Waiting Time 150 | Burst Time 6 | Arrival Time 2 | Turn Around Time 156
Process 34 | Waiting Time 156 | Burst Time 5 | Arrival Time 2 | Turn Around Time 161
Process 35 | Waiting Time 160 | Burst Time 4 | Arrival Time 3 | Turn Around Time 164
Process 36 | Waiting Time 164 | Burst Time 5 | Arrival Time 3 | Turn Around Time 169
Process 37 | Waiting Time 169 | Burst Time 5 | Arrival Time 3 | Turn Around Time 174
Process 38 | Waiting Time 174 | Burst Time 5 | Arrival Time 3 | Turn Around Time 179
Process 39 | Waiting Time 179 | Burst Time 3 | Arrival Time 3 | Turn Around Time 182
Process 40 | Waiting Time 182 | Burst Time 5 | Arrival Time 3 | Turn Around Time 187
Process 41 | Waiting Time 187 | Burst Time 4 | Arrival Time 3 | Turn Around Time 191
Process 42 | Waiting Time 191 | Burst Time 4 | Arrival Time 3 | Turn Around Time 195
Process 43 | Waiting Time 195 | Burst Time 4 | Arrival Time 3 | Turn Around Time 199
Process 44 | Waiting Time 199 | Burst Time 5 | Arrival Time 3 | Turn Around Time 204
Process 45 | Waiting Time 204 | Burst Time 6 | Arrival Time 3 | Turn Around Time 210
Process 46 | Waiting Time 210 | Burst Time 6 | Arrival Time 3 | Turn Around Time 216
Process 47 | Waiting Time 216 | Burst Time 4 | Arrival Time 3 | Turn Around Time 220
Process 48 | Waiting Time 219 | Burst Time 5 | Arrival Time 4 | Turn Around Time 224
Process 49 | Waiting Time 224 | Burst Time 4 | Arrival Time 4 | Turn Around Time 228
Process 50 | Waiting Time 228 | Burst Time 3 | Arrival Time 4 | Turn Around Time 231
Process 51 | Waiting Time 231 | Burst Time 3 | Arrival Time 4 | Turn Around Time 234
Process 52 | Waiting Time 234 | Burst Time 4 | Arrival Time 4 | Turn Around Time 238
Process 53 | Waiting Time 238 | Burst Time 6 | Arrival Time 4 | Turn Around Time 244
Process 54 | Waiting Time 244 | Burst Time 5 | Arrival Time 4 | Turn Around Time 249
Process 55 | Waiting Time 249 | Burst Time 5 | Arrival Time 4 | Turn Around Time 254
Process 56 | Waiting Time 254 | Burst Time 5 | Arrival Time 4 | Turn Around Time 259
Process 57 | Waiting Time 259 | Burst Time 6 | Arrival Time 4 | Turn Around Time 265
Process 58 | Waiting Time 265 | Burst Time 4 | Arrival Time 4 | Turn Around Time 269
Process 59 | Waiting Time 269 | Burst Time 6 | Arrival Time 4 | Turn Around Time 275
Process 60 | Waiting Time 275 | Burst Time 5 | Arrival Time 4 | Turn Around Time 280
Process 61 | Waiting Time 280 | Burst Time 5 | Arrival Time 4 | Turn Around Time 285
Process 62 | Waiting Time 285 | Burst Time 5 | Arrival Time 4 | Turn Around Time 290
Process 63 | Waiting Time 289 | Burst Time 5 | Arrival Time 5 | Turn Around Time 294
Process 64 | Waiting Time 294 | Burst Time 5 | Arrival Time 5 | Turn Around Time 299
Process 65 | Waiting Time 299 | Burst Time 3 | Arrival Time 5 | Turn Around Time 302
Process 66 | Waiting Time 302 | Burst Time 5 | Arrival Time 5 | Turn Around Time 307
Process 67 | Waiting Time 307 | Burst Time 5 | Arrival Time 5 | Turn Around Time 312
Process 68 | Waiting Time 312 | Burst Time 4 | Arrival Time 5 | Turn Around Time 316
