# seed=(1, 2) mean=(5, 20) standard_deviation=(1, 15) number_of_processes=100
------------------------------------------------------------
Average waiting time : 205.93
Average turn around time : 210.49
------------------------------------------------------------
Process 0 | Waiting Time 0 | Burst Time 5 | Arrival Time 0 | Turn Around Time 5
Process 1 | Waiting Time 4 | Burst Time 4 | Arrival Time 1 | Turn Around Time 8
Process 2 | Waiting Time 8 | Burst Time 4 | Arrival Time 1 | Turn Around Time 12
Process 3 | Waiting Time 12 | Burst Time 6 | Arrival Time 1 | Turn Around Time 18
Process 4 | Waiting Time 17 | Burst Time 4 | Arrival Time 2 | Turn Around Time 21
Process 5 | Waiting Time 20 | Burst Time 4 | Arrival Time 3 | Turn Around Time 24
Process 6 | Waiting Time 24 | Burst Time 5 | Arrival Time 3 | Turn Around Time 29
Process 7 | Waiting Time 28 | Burst Time 5 | Arrival Time 4 | Turn Around Time 33
Process 8 | Waiting Time 32 | Burst Time 5 | Arrival Time 5 | Turn Around Time 37
Process 9 | Waiting Time 36 | Burst Time 5 | Arrival Time 6 | Turn Around Time 41
Process 10 | Waiting Time 41 | Burst Time 4 | Arrival Time 6 | Turn Around Time 45
Process 11 | Waiting Time 45 | Burst Time 3 | Arrival Time 6 | Turn Around Time 48
Process 12 | Waiting Time 48 | Burst Time 5 | Arrival Time 6 | Turn Around Time 53
Process 13 | Waiting Time 52 | Burst Time 2 | Arrival Time 7 | Turn Around Time 54
Process 14 | Waiting Time 54 | Burst Time 5 | Arrival Time 7 | Turn Around Time 59
Process 15 | Waiting Time 59 | Burst Time 5 | Arrival Time 7 | Turn Around Time 64
Process 16 | Waiting Time 64 | Burst Time 5 | Arrival Time 7 | Turn Around Time 69
Process 17 | Waiting Time 68 | Burst Time 5 | Arrival Time 8 | Turn Around Time 73
Process 18 | Waiting Time 73 | Burst Time 4 | Arrival Time 8 | Turn Around Time 77
Process 19 | Waiting Time 76 | Burst Time 6 | Arrival Time 9 | Turn Around Time 82
Process 20 | Waiting Time 81 | Burst Time 4 | Arrival Time 10 | Turn Around Time 85
Process 21 | Waiting Time 85 | Burst Time 5 | Arrival Time 10 | Turn Around Time 90
Process 22 | Waiting Time 90 | Burst Time 5 | Arrival Time 10 | Turn Around Time 95
Process 23 | Waiting Time 95 | Burst Time 3 | Arrival Time 10 | Turn Around Time 98
Process 24 | Waiting Time 98 | Burst Time 5 | Arrival Time 10 | Turn Around Time 103
Process 25 | Waiting Time 102 | Burst Time 3 | Arrival Time 11 | Turn Around Time 105
Process 26 | Waiting Time 104 | Burst Time 4 | Arrival Time 12 | Turn Around Time 108
Process 27 | Waiting Time 107 | Burst Time 6 | Arrival Time 13 | Turn Around Time 113
Process 28 | Waiting Time 113 | Burst Time 4 | Arrival Time 13 | Turn Around Time 117
Process 29 | Waiting Time 117 | Burst Time 5 | Arrival Time 13 | Turn Around Time 122
Process 30 | Waiting Time 122 | Burst Time 5 | Arrival Time 13 | Turn Around Time 127
Process 31 | Waiting Time 126 | Burst Time 5 | Arrival Time 14 | Turn Around Time 131
Process 32 | Waiting Time 131 | Burst Time 4 | Arrival Time 14 | Turn Around Time 135
Process 33 | Waiting Time 135 | Burst Time 4 | Arrival Time 14 | Turn Around Time 139
Process 34 | Waiting Time 139 | Burst Time 3 | Arrival Time 14 | Turn Around Time 142
Process 35 | Waiting Time 142 | Burst Time 5 | Arrival Time 14 | Turn Around Time 147
Process 36 | Waiting Time 146 | Burst Time 4 | Arrival Time 15 | Turn Around Time 150
Process 37 | Waiting Time 150 | Burst Time 4 | Arrival Time 15 | Turn Around Time 154
Process 38 | Waiting Time 154 | Burst Time 5 | Arrival Time 15 | Turn Around Time 159
Process 39 | Waiting Time 158 | Burst Time 4 | Arrival Time 16 | Turn Around Time 162
Process 40 | Waiting Time 162 | Burst Time 4 | Arrival Time 16 | Turn Around Time 166
Process 41 | Waiting Time 166 | Burst Time 5 | Arrival Time 16 | Turn Around Time 171
Process 42 | Waiting Time 170 | Burst Time 6 | Arrival Time 17 | Turn Around Time 176
Process 43 | Waiting Time 176 | Burst Time 5 | Arrival Time 17 | Turn Around Time 181
Process 44 | Waiting Time 181 | Burst Time 4 | Arrival Time 17 | Turn Around Time 185
Process 45 | Waiting Time 184 | Burst Time 4 | Arrival Time 18 | Turn Around Time 188
Process 46 | Waiting Time 188 | Burst Time 6 | Arrival Time 18 | Turn Around Time 194
Process 47 | Waiting Time 194 | Burst Time 5 | Arrival Time 18 | Turn Around Time 199
