# seed = 1 mean = 50 standard_deviation = 10 number_of_pages = 100
Capacity of LSU = 5
------------------------------------------------------------
Page Faults = 77
Page Hits = 23
------------------------------------------------------------
[66] <-- Page - 66 | Page Fault Here
[66, 43] <-- Page - 43 | Page Fault Here
[66, 43, 44] <-- Page - 44 | Page Fault Here
[66, 43, 44, 39] <-- Page - 39 | Page Fault Here
[46, 55, 59, 43, 50] <-- Page - 43
[46, 55, 59, 43, 51] <-- Page - 51 | Page Fault Here
[46, 55, 59, 43, 71] <-- Page - 71 | Page Fault Here
[46, 55, 59, 43, 51] <-- Page - 51 | Page Fault Here
[46, 55, 59, 43, 56] <-- Page - 56 | Page Fault Here
[46, 55, 59, 43, 53] <-- Page - 53 | Page Fault Here
[46, 55, 59, 43, 53] <-- Page - 46
[46, 55, 59, 43, 38] <-- Page - 38 | Page Fault Here
[46, 55, 59, 43, 38] <-- Page - 46
[46, 55, 59, 43, 47] <-- Page - 47 | Page Fault Here
[46, 55, 59, 43, 47] <-- Page - 55
[46, 55, 59, 43, 58] <-- Page - 58 | Page Fault Here
[46, 55, 59, 43, 58] <-- Page - 59
[46, 55, 59, 43, 52] <-- Page - 52 | Page Fault Here
[46, 55, 59, 43, 58] <-- Page - 58 | Page Fault Here
[46, 55, 59, 43, 42] <-- Page - 42 | Page Fault Here
[46, 55, 59, 43, 62] <-- Page - 62 | Page Fault Here
[46, 55, 59, 43, 62] <-- Page - 55
[46, 55, 59, 43, 47] <-- Page - 47 | Page Fault Here
[46, 55, 59, 43, 54] <-- Page - 54 | Page Fault Here
[46, 55, 59, 43, 49] <-- Page - 49 | Page Fault Here
[46, 55, 59, 43, 61] <-- Page - 61 | Page Fault Here
[46, 55, 59, 43, 65] <-- Page - 65 | Page Fault Here
[46, 55, 59, 43, 71] <-- Page - 71 | Page Fault Here
[46, 55, 59, 43, 36] <-- Page - 36 | Page Fault Here
[46, 55, 59, 43, 35] <-- Page - 35 | Page Fault Here
[46, 55, 59, 43, 44] <-- Page - 44 | Page Fault Here
[46, 55, 59, 43, 51] <-- Page - 51 | Page Fault Here
[46, 55, 59, 43, 58] <-- Page - 58 | Page Fault Here
[46, 55, 59, 43, 53] <-- Page - 53 | Page Fault Here
[46, 55, 59, 43, 29] <-- Page - 29 | Page Fault Here
[46, 55, 59, 43, 29] <-- Page - 46
[46, 55, 59, 43, 58] <-- Page - 58 | Page Fault Here
[46, 55, 59, 43, 52] <-- Page - 52 | Page Fault Here
[46, 55, 59, 43, 57] <-- Page - 57 | Page Fault Here
[46, 55, 59, 43, 47] <-- Page - 47 | Page Fault Here
[46, 55, 59, 43, 47] <-- Page - 47
[46, 55, 59, 43, 51] <-- Page - 51 | Page Fault Here
[46, 55, 59, 43, 54] <-- Page - 54 | Page Fault Here
[46, 55, 59, 43, 51] <-- Page - 51 | Page Fault Here
[46, 55, 59, 43, 51] <-- Page - 51
[46, 55, 59, 43, 51] <-- Page - 43
[46, 55, 59, 43, 53] <-- Page - 53 | Page Fault Here
[46, 55, 59, 43, 51] <-- Page - 51 | Page Fault Here
[46, 55, 59, 43, 61] <-- Page - 61 | Page Fault Here
[46, 55, 59, 43, 61] <-- Page - 61
[46, 55, 59, 43, 51] <-- Page - 51 | Page Fault Here
[46, 55, 59, 43, 51] <-- Page - 46
[46, 55, 59, 43, 51] <-- Page - 43
[46, 55, 59, 43, 54] <-- Page - 54 | Page Fault Here
[46, 55, 59, 43, 50] <-- Page - 50 | Page Fault Here
[46, 55, 59, 43, 50] <-- Page - 46
[46, 55, 59, 43, 50] <-- Page - 50
[46, 55, 59, 43, 50] <-- Page - 43
[46, 55, 59, 43, 56] <-- Page - 56 | Page Fault Here
------------------------------------------------------------
