# seed=(1, 2) mean=(250, 20) standard_deviation=(50, 15) number_of_processes=100
------------------------------------------------------------
Average waiting time : 12511.77
Average turn around time : 12764.3
------------------------------------------------------------
Process 0 | Waiting Time 0 | Burst Time 146 | Arrival Time 54 | Turn Around Time 146
Process 1 | Waiting Time 147 | Burst Time 230 | Arrival Time 53 | Turn Around Time 377
Process 2 | Waiting Time 385 | Burst Time 334 | Arrival Time 45 | Turn Around Time 719
Process 3 | Waiting Time 720 | Burst Time 196 | Arrival Time 44 | Turn Around Time 916
Process 4 | Waiting Time 917 | Burst Time 148 | Arrival Time 43 | Turn Around Time 1065
Process 5 | Waiting Time 1066 | Burst Time 252 | Arrival Time 42 | Turn Around Time 1318
Process 6 | Waiting Time 1319 | Burst Time 218 | Arrival Time 41 | Turn Around Time 1537
Process 7 | Waiting Time 1538 | Burst Time 249 | Arrival Time 40 | Turn Around Time 1787
Process 8 | Waiting Time 1787 | Burst Time 216 | Arrival Time 40 | Turn Around Time 2003
Process 9 | Waiting Time 2004 | Burst Time 279 | Arrival Time 39 | Turn Around Time 2283
Process 10 | Waiting Time 2284 | Burst Time 270 | Arrival Time 38 | Turn Around Time 2554
Process 11 | Waiting Time 2554 | Burst Time 268 | Arrival Time 38 | Turn Around Time 2822
Process 12 | Waiting Time 2823 | Burst Time 206 | Arrival Time 37 | Turn Around Time 3029
Process 13 | Waiting Time 3029 | Burst Time 218 | Arrival Time 37 | Turn Around Time 3247
Process 14 | Waiting Time 3249 | Burst Time 265 | Arrival Time 35 | Turn Around Time 3514
Process 15 | Waiting Time 3514 | Burst Time 253 | Arrival Time 35 | Turn Around Time 3767
Process 16 | Waiting Time 3770 | Burst Time 224 | Arrival Time 32 | Turn Around Time 3994
Process 17 | Waiting Time 3994 | Burst Time 259 | Arrival Time 32 | Turn Around Time 4253
Process 18 | Waiting Time 4254 | Burst Time 205 | Arrival Time 31 | Turn Around Time 4459
Process 19 | Waiting Time 4459 | Burst Time 180 | Arrival Time 31 | Turn Around Time 4639
Process 20 | Waiting Time 4640 | Burst Time 261 | Arrival Time 30 | Turn Around Time 4901
Process 21 | Waiting Time 4902 | Burst Time 259 | Arrival Time 29 | Turn Around Time 5161
Process 22 | Waiting Time 5162 | Burst Time 323 | Arrival Time 28 | Turn Around Time 5485
Process 23 | Waiting Time 5485 | Burst Time 306 | Arrival Time 28 | Turn Around Time 5791
Process 24 | Waiting Time 5791 | Burst Time 287 | Arrival Time 28 | Turn Around Time 6078
Process 25 | Waiting Time 6078 | Burst Time 259 | Arrival Time 28 | Turn Around Time 6337
