# seed=(1, 2) mean=(250, 20) standard_deviation=(50, 15) number_of_processes=1000
------------------------------------------------------------
Average waiting time : 125497.092
Average turn around time : 125748.558
------------------------------------------------------------
Process 0 | Waiting Time 0 | Burst Time 359 | Arrival Time 81 | Turn Around Time 359
Process 1 | Waiting Time 371 | Burst Time 276 | Arrival Time 69 | Turn Around Time 647
Process 2 | Waiting Time 649 | Burst Time 210 | Arrival Time 67 | Turn Around Time 859
Process 3 | Waiting Time 859 | Burst Time 257 | Arrival Time 67 | Turn Around Time 1116
Process 4 | Waiting Time 1123 | Burst Time 216 | Arrival Time 60 | Turn Around Time 1339
Process 5 | Waiting Time 1339 | Burst Time 255 | Arrival Time 60 | Turn Around Time 1594
Process 6 | Waiting Time 1595 | Burst Time 305 | Arrival Time 59 | Turn Around Time 1900
Process 7 | Waiting Time 1901 | Burst Time 258 | Arrival Time 58 | Turn Around Time 2159
Process 8 | Waiting Time 2159 | Burst Time 306 | Arrival Time 58 | Turn Around Time 2465
Process 9 | Waiting Time 2466 | Burst Time 285 | Arrival Time 57 | Turn Around Time 2751
Process 10 | Waiting Time 2751 | Burst Time 308 | Arrival Time 57 | Turn Around Time 3059
Process 11 | Waiting Time 3061 | Burst Time 155 | Arrival Time 55 | Turn Around Time 3216
Process 12 | Waiting Time 3217 | Burst Time 146 | Arrival Time 54 | Turn Around Time 3363
Process 13 | Waiting Time 3363 | Burst Time 273 | Arrival Time 54 | Turn Around Time 3636
Process 14 | Waiting Time 3636 | Burst Time 223 | Arrival Time 54 | Turn Around Time 3859
Process 15 | Waiting Time 3859 | Burst Time 284 | Arrival Time 54 | Turn Around Time 4143
Process 16 | Waiting Time 4143 | Burst Time 303 | Arrival Time 54 | Turn Around Time 4446
Process 17 | Waiting Time 4447 | Burst Time 230 | Arrival Time 53 | Turn Around Time 4677
Process 18 | Waiting Time 4677 | Burst Time 214 | Arrival Time 53 | Turn Around Time 4891
Process 19 | Waiting Time 4892 | Burst Time 275 | Arrival Time 52 | Turn Around Time 5167
Process 20 | Waiting Time 5167 | Burst Time 234 | Arrival Time 52 | Turn Around Time 5401
Process 21 | Waiting Time 5402 | Burst Time 241 | Arrival Time 51 | Turn Around Time 5643
Process 22 | Waiting Time 5643 | Burst Time 254 | Arrival Time 51 | Turn Around Time 5897
Process 23 | Waiting Time 5898 | Burst Time 257 | Arrival Time 50 | Turn Around Time 6155
Process 24 | Waiting Time 6156 | Burst Time 242 | Arrival Time 49 | Turn Around Time 6398
Process 25 | Waiting Time 6398 | Burst Time 221 | Arrival Time 49 | Turn Around Time 6619
Process 26 | Waiting Time 6619 | Burst Time 219 | Arrival Time 49 | Turn Around Time 6838
Process 27 | Waiting Time 6838 | Burst Time 252 | Arrival Time 49 | Turn Around Time 7090
Process 28 | Waiting Time 7091 | Burst Time 219 | Arrival Time 48 | Turn Around Time 7310
Process 29 | Waiting Time 7310 | Burst Time 274 | Arrival Time 48 | Turn Around Time 7584
Process 30 | Waiting Time 7584 | Burst Time 290 | Arrival Time 48 | Turn Around Time 7874
Process 31 | Waiting Time 7874 | Burst Time 246 | Arrival Time 48 | Turn Around Time 8120
Process 32 | Waiting Time 8120 | Burst Time 298 | Arrival Time 48 | Turn Around Time 8418
Process 33 | Waiting Time 8419 | Burst Time 287 | Arrival Time 47 | Turn Around Time 8706
Process 34 | Waiting Time 8706 | Burst Time 168 | Arrival Time 47 | Turn Around Time 8874
Process 35 | Waiting Time 8874 | Burst Time 216 | Arrival Time 47 | Turn Around Time 9090
Process 36 | Waiting Time 9090 | Burst Time 178 | Arrival Time 47 | Turn Around Time 9268
Process 37 | Waiting Time 9268 | Burst Time 315 | Arrival Time 47 | Turn Around Time 9583
Process 38 | Waiting Time 9583 | Burst Time 311 | Arrival Time 47 | Turn Around Time 9894
Process 39 | Waiting Time 9894 | Burst Time 201 | Arrival Time 47 | Turn Around Time 10095
Process 40 | Waiting Time 10096 | Burst Time 253 | Arrival Time 46 | Turn Around Time 10349
Process 41 | Waiting Time 10349 | Burst Time 250 | Arrival Time 46 | Turn Around Time 10599
Process 42 | Waiting Time 10599 | Burst Time 301 | Arrival Time 46 | Turn Around Time 10900
Process 43 | Waiting Time 10900 | Burst Time 241 | Arrival Time 46 | Turn Around Time 11141
Process 44 | Waiting Time 11141 | Burst Time 283 | Arrival Time 46 | Turn Around Time 11424
Process 45 | Waiting Time 11424 | Burst Time 202 | Arrival Time 46 | Turn Around Time 11626
Process 46 | Waiting Time 11627 | Burst Time 334 | Arrival Time 45 | Turn Around Time 11961
Process 47 | Waiting Time 11961 | Burst Time 209 | Arrival Time 45 | Turn Around Time 12170
Process 48 | Waiting Time 12170 | Burst Time 199 | Arrival Time 45 | Turn Around Time 12369
Process 49 | Waiting Time 12370 | Burst Time 196 | Arrival Time 44 | Turn Around Time 12566
Process 50 | Waiting Time 12566 | Burst Time 244 | Arrival Time 44 | Turn Around Time 12810
